City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Praia,CV,14.9215,-23.5087,78.8,53,75,23.02,broken clouds
202,Shimoda,JP,34.6667,138.95,41.0,78,90,1.01,overcast clouds
203,Penha,BR,-26.7694,-48.6458,82.4,83,40,14.97,scattered clouds
204,Visby,SE,57.6409,18.296,26.6,80,96,9.22,overcast clouds
205,Saint George,US,37.1041,-113.5841,33.8,40,1,4.61,clear sky
206,Henties Bay,NA,-22.116,14.2845,68.43,75,4,14.72,clear sky
207,Constitucion,CL,-35.3333,-72.4167,66.96,43,0,15.17,clear sky
208,Tabas,IR,33.5959,56.9244,53.6,19,0,4.61,clear sky
209,Praya,CV,14.9215,-23.5087,78.8,53,75,23.02,broken clouds
210,Matara,LK,5.9485,80.5353,77.38,86,99,5.93,light rain
211,Tekeli,KZ,44.83,78.8239,37.0,58,0,11.01,clear sky
212,Ballina,AU,-28.8667,153.5667,68.0,83,90,4.61,overcast clouds
213,Isangel,VU,-19.55,169.2667,80.87,77,100,5.12,overcast clouds
214,Sao Filipe,CV,14.8961,-24.4956,73.65,68,61,10.27,broken clouds
215,Dezful,IR,32.3811,48.4058,62.85,41,0,4.09,clear sky
216,Chapais,CA,49.7834,-74.8492,24.8,86,90,9.22,overcast clouds
217,Solnechnyy,RU,50.7214,136.6319,-13.49,86,26,2.98,scattered clouds
218,Humaita,BR,-7.5061,-63.0208,80.44,86,95,3.29,moderate rain
219,Talnakh,RU,69.4865,88.3972,-27.89,72,0,6.53,clear sky
220,Vila Velha,BR,-20.3297,-40.2925,86.0,58,40,14.97,scattered clouds
221,Iida,JP,35.5197,137.8207,34.0,99,100,1.83,overcast clouds
222,Pahrump,US,36.2083,-115.9839,53.01,24,1,9.22,clear sky
223,Tecoanapa,MX,16.5167,-98.75,79.05,71,66,3.33,broken clouds
224,Tieli,CN,46.95,128.05,-11.06,90,100,6.42,snow
225,Tazovskiy,RU,67.4667,78.7,-11.6,90,100,17.07,light snow
226,Shubarshi,KZ,48.5872,57.1869,13.21,95,0,6.17,clear sky
227,Sohag,EG,26.557,31.6948,66.2,34,0,13.8,clear sky
228,Ternate,ID,0.8,127.4,78.94,85,100,3.27,light rain
229,Zhezkazgan,KZ,47.8043,67.7144,11.1,94,91,4.36,overcast clouds
230,Cayenne,GF,4.9333,-52.3333,82.4,69,90,14.97,overcast clouds
231,Bageshwar,IN,29.85,79.7667,51.06,45,0,1.97,clear sky
232,Amberley,US,39.2048,-84.428,33.01,80,90,6.91,overcast clouds
233,Souillac,MU,-20.5167,57.5167,82.4,78,40,8.05,scattered clouds
234,Mao,ES,39.8885,4.2658,51.8,62,20,13.8,few clouds
235,Mindelo,CV,16.8901,-24.9804,73.4,53,75,32.21,broken clouds
236,Grand Gaube,MU,-20.0064,57.6608,82.0,81,57,5.99,broken clouds
237,Luderitz,NA,-26.6481,15.1594,71.28,58,0,24.14,clear sky
238,Lompoc,US,34.6391,-120.4579,68.0,81,28,8.9,scattered clouds
239,Gizo,SB,-8.103,156.8419,82.92,73,88,9.4,overcast clouds
240,Senador Guiomard,BR,-10.1522,-67.7392,84.2,70,40,11.5,light rain
241,Puerto Madryn,AR,-42.7692,-65.0385,65.5,39,98,22.24,overcast clouds
242,Broken Hill,AU,-31.95,141.4333,64.4,36,50,11.5,scattered clouds
