City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
227,227,Sohag,EG,66.2,clear sky,26.557,31.6948,Civil Registry - Sohag 1
229,229,Zhezkazgan,KZ,11.1,overcast clouds,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
231,231,Bageshwar,IN,51.06,clear sky,29.85,79.7667,Hotel pindar innn
232,232,Amberley,US,33.01,overcast clouds,39.2048,-84.428,"Motel 6 Cincinnati, OH - Central - Norwood"
234,234,Mao,ES,51.8,few clouds,39.8885,4.2658,ARTIEM Capri
238,238,Lompoc,US,68.0,scattered clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
241,241,Puerto Madryn,AR,65.5,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
242,242,Broken Hill,AU,64.4,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
245,245,Iqaluit,CA,14.0,light snow,63.7506,-68.5145,Frobisher Inn
246,246,Lake Havasu City,US,53.01,clear sky,34.4839,-114.3224,Heat Hotel
248,248,Portland,US,43.0,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
249,249,Finnsnes,NO,33.8,light snow,69.2296,17.9811,Finnsnes Hotel - A SNR Hotel
251,251,Preobrazheniye,RU,6.08,clear sky,42.9019,133.9064,Campsite Orlan
255,255,Alice Springs,AU,69.8,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
256,256,Tekirdag,TR,32.0,heavy snow,40.978,27.5085,Tekirdağ Yat Hotel
259,259,Lasa,IT,30.99,clear sky,46.6166,10.7002,Pension Feldgärtenhof
261,261,Laguna,US,44.01,fog,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
263,263,Pacific Grove,US,54.0,clear sky,36.6177,-121.9166,Lovers Point Inn
266,266,Chino Valley,US,45.0,clear sky,34.7575,-112.4538,Primrose Inn & Suites
269,269,Kristiinankaupunki,FI,19.71,overcast clouds,62.2743,21.375999999999998,Hotel Alma
271,271,Trelew,AR,66.67,overcast clouds,-43.248999999999995,-65.3051,Hotel Touring Club
272,272,San Patricio,US,50.0,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
275,275,Anan,JP,46.4,broken clouds,33.9167,134.65,Royal Garden Hotel
276,276,Miyako,JP,30.15,clear sky,39.6367,141.9525,Hotel Route Inn Miyako
282,282,Maur,IN,54.46,clear sky,30.0833,75.25,sanju tee sotall
283,283,Bridlington,GB,43.0,broken clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
284,284,Port Lincoln,AU,61.14,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
290,290,Shu,KZ,39.99,clear sky,43.5983,73.7614,Shyngyzkhan
291,291,Stramtura,RO,19.4,broken clouds,47.7833,24.1333,Cabana Iza Maramures Barsana
292,292,Hinton,CA,21.2,few clouds,53.4001,-117.5857,Econo Lodge & Suites
294,294,Reggio Di Calabria,IT,51.8,few clouds,38.1105,15.6613,Hotel Continental
295,295,Irbeyskoye,RU,8.31,light snow,55.6428,95.4522,"Gostinitsa ""Agul"""
299,299,Kaitangata,NZ,57.07,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
301,301,Kerman,IR,51.8,clear sky,30.2832,57.0788,هتل آپارتمان آسام
302,302,Ahipara,NZ,60.84,clear sky,-35.1667,173.1667,Ahipara Holiday Park
304,304,Hasaki,JP,42.8,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
305,305,Katsuura,JP,46.99,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
306,306,Puerto Del Rosario,ES,68.0,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
308,308,Launceston,AU,44.6,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
313,313,San Carlos De Bariloche,AR,59.0,few clouds,-41.1456,-71.3082,Hotel Patagonia
317,317,Hisar,IN,57.38,clear sky,29.1667,75.7167,OYO 69533 Hotel Diamond Star
321,321,Miandoab,IR,44.6,clear sky,36.9694,46.1027,موبایل جمهموری
323,323,Teguise,ES,66.2,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
324,324,Naze,JP,55.74,clear sky,28.3667,129.4833,奄美ポートタワーホテル
325,325,Alexandria,EG,66.2,few clouds,31.2156,29.9553,Royal Crown Hotel
327,327,Ancud,CL,60.8,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
329,329,Nome,US,12.2,light snow,64.5011,-165.4064,Dredge 7 Inn
330,330,Campbell River,CA,41.0,mist,50.0163,-125.2446,Ramada by Wyndham Campbell River
337,337,Bassano,CA,30.2,few clouds,50.7834,-112.4685,Imperial Hunter Hotel
341,341,Fort Dodge,US,24.8,overcast clouds,42.4975,-94.16799999999999,"Country Inn & Suites by Radisson, Fort Dodge, IA"
345,345,Aswan,EG,68.47,clear sky,24.0934,32.907,Nuba Nile
346,346,Rodez,FR,33.8,clear sky,44.5,2.5833,L'Auberge du Château
347,347,Mangan,IN,57.02,broken clouds,27.5167,88.5333,Hotel Mout View
348,348,Flinders,AU,62.01,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
351,351,Palmer,US,43.0,light rain,42.1584,-72.3287,Wedgewood Motel
352,352,Fairbanks,US,7.0,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
353,353,Beibei,CN,44.01,light rain,29.8256,106.4339,FX Hotel Chongqing at Beibei Southwest University
355,355,Nanortalik,GL,25.07,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
357,357,Nyborg,DK,30.2,broken clouds,55.3127,10.7896,Nyborg Strand
358,358,Houston,US,48.0,haze,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
361,361,Greeneville,US,33.01,mist,36.1632,-82.831,General Morgan Inn and Conference Center
362,362,Morehead,US,35.01,overcast clouds,37.2711,-87.1764,CCI Express Inn
367,367,Cochrane,CA,33.8,clear sky,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
369,369,Tashigang,BT,53.76,overcast clouds,27.3331,91.5542,Lingkhar Lodge
371,371,Redmond,US,41.0,overcast clouds,47.674,-122.1215,Seattle Marriott Redmond
375,375,Kashi,CN,23.0,clear sky,39.4547,75.9797,帕米尔青年旅舍
376,376,El Dorado,US,55.4,clear sky,38.7666,-120.5177,Bridal Veil Campground
377,377,Sisimiut,GL,14.34,clear sky,66.9395,-53.6735,Hotel Sisimiut
378,378,Grindavik,IS,37.4,light rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
379,379,Taltal,CL,68.2,clear sky,-25.4,-70.4833,Residencial Karime
381,381,Visnes,NO,36.0,broken clouds,59.3556,5.2242,Park Inn Haugesund Airport
386,386,Watertown,US,48.99,mist,42.3709,-71.1828,"Freepoint Hotel Cambridge, a Tapestry Collection"
389,389,Bereda,ES,48.99,clear sky,43.2686,-7.5406,Pazo de Verdes
392,392,Camp Verde,US,50.0,scattered clouds,34.5636,-111.8543,Days Inn by Wyndham Camp Verde Arizona
393,393,The Pas,CA,6.8,clear sky,53.8251,-101.2541,Wescana Inn
395,395,Bulaevo,KZ,15.44,overcast clouds,54.9056,70.4439,"Игровой клуб ""ДОМ ИГР Z"""
397,397,Tongren,CN,37.72,light rain,27.7172,109.1853,Fanjing Mountain International Conference Center
398,398,Tuatapere,NZ,63.0,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
